article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
0282832014,282832,Kevin softshell jacket (1),262,Jacket,Garment Upper body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,8558,Men Sport Tops,S,Sport,26,Sport,22,Men H&M Sport,1007,Outdoor,"Softshell jacket in water-repellent functional fabric. Hood with an elastic drawstring and small peak, and a zip down the front with a chin guard. Chest pocket with a zip and earphone outlet on the inside, zipped side pockets, elastication at the cuffs and an elastic drawstring at the hem. Thermal fleece inside. Size of chest pocket approx. 12x17 cm."
0287645013,287645,2-p micro tights SG,304,Underwear Tights,Socks & Tights,1010016,Solid,51,Light Pink,1,Dusty Light,4,Pink,7921,Kids Girl S&T,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1021,Socks and Tights,Thin tights with an elasticated waist.
0288825012,288825,2-p Babsan tights BG,304,Underwear Tights,Socks & Tights,1010013,Other pattern,7,Grey,1,Dusty Light,12,Grey,7931,Young Girl S&T,I,Children Sizes 134-170,4,Baby/Children,79,Girls Underwear & Basics,1021,Socks and Tights,Fine-knit tights with an elasticated waist.
0289597022,289597,UMBRELLA,83,Umbrella,Accessories,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,3948,Other Accessories,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Umbrella with a telescopic handle and matching cover. Length 23 cm folded.
0292453009,292453,Flirty Chantal earring,70,Earring,Accessories,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,4344,Jewellery,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Earrings with plastic beads and tassels. Length 8.5 cm.
0293433046,293433,Basic 2pk tights SG,304,Underwear Tights,Socks & Tights,1010016,Solid,10,White,3,Light,9,White,7921,Kids Girl S&T,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1021,Socks and Tights,"Tights in a soft, fine knit with an elasticated waist."
0293433048,293433,Basic 2pk tights SG,304,Underwear Tights,Socks & Tights,1010016,Solid,9,Black,4,Dark,5,Black,7921,Kids Girl S&T,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1021,Socks and Tights,"Tights in a soft, fine knit with an elasticated waist."
0293433054,293433,Basic 2pk tights SG,304,Underwear Tights,Socks & Tights,1010016,Solid,22,Yellow,2,Medium Dusty,8,Yellow,7921,Kids Girl S&T,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1021,Socks and Tights,"Tights in a soft, fine knit with an elasticated waist."
0293433055,293433,Basic 2pk tights SG,304,Underwear Tights,Socks & Tights,1010016,Solid,92,Green,1,Dusty Light,19,Green,7921,Kids Girl S&T,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1021,Socks and Tights,"Tights in a soft, fine knit with an elasticated waist."
0293510013,293510,2-p basic tights BG,304,Underwear Tights,Socks & Tights,1010016,Solid,10,White,3,Light,9,White,7931,Young Girl S&T,I,Children Sizes 134-170,4,Baby/Children,79,Girls Underwear & Basics,1021,Socks and Tights,Fine-knit tights with an elasticated waist.
0294008042,294008,Cora T-shirt,255,T-shirt,Garment Upper body,1010016,Solid,22,Yellow,2,Medium Dusty,8,Yellow,1919,Jersey,A,Ladieswear,1,Ladieswear,2,H&M+,1005,Jersey Fancy,Gently flared top in soft viscose jersey with short sleeves and a rounded hem.
0294008044,294008,Cora T-shirt,255,T-shirt,Garment Upper body,1010016,Solid,53,Dark Pink,5,Bright,4,Pink,1919,Jersey,A,Ladieswear,1,Ladieswear,2,H&M+,1005,Jersey Fancy,Gently flared top in soft viscose jersey with short sleeves and a rounded hem.
0294237001,294237,Aurora winter cap,69,Cap/peaked,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3945,Knit & Woven,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Cap with an adjustable metal fastener at the back.
0296471024,296471,TINA 7-P,286,Underwear bottom,Underwear,1010001,All over pattern,10,White,3,Light,9,White,7932,Young Girl UW/NW,I,Children Sizes 134-170,4,Baby/Children,79,Girls Underwear & Basics,1017,"Under-, Nightwear",Cotton jersey briefs in various designs with an elasticated waist and lined gusset.
0300696001,300696,Glove Magic Touch Pack,71,Gloves,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,9985,Accessories,F,Menswear,3,Menswear,25,Men Accessories,1019,Accessories,"Fine-knit gloves with touchscreen-compatible material on the thumb, index and middle finger."
0301656017,301656,Shirtdress Lou,265,Dress,Garment Full body,1010023,Denim,92,Green,2,Medium Dusty,20,Khaki green,1773,Denim Other Garments,D,Divided,2,Divided,57,Ladies Denim,1016,Trousers Denim,"Long, straight-cut shirt in soft Tencel™ lyocell denim with a collar and buttons down the front. Chest pockets with a pleat, and long sleeves with buttoned cuffs."
0301687012,301687,Lurex tights BG,304,Underwear Tights,Socks & Tights,1010016,Solid,12,Light Beige,1,Dusty Light,11,Beige,7931,Young Girl S&T,I,Children Sizes 134-170,4,Baby/Children,79,Girls Underwear & Basics,1021,Socks and Tights,Tights in a fine knit containing glittery threads. Elasticated waist and soft inside.
0304778010,304778,Cosy 1p Lounge sock,302,Socks,Socks & Tights,1010001,All over pattern,43,Dark Red,4,Dark,18,Red,3611,Shopbasket Socks,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,"Long, thick socks in a jacquard knit with a pile lining."
0306307005,306307,Lima ss,255,T-shirt,Garment Upper body,1010010,Melange,53,Dark Pink,4,Dark,4,Pink,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Fitted top in jersey with short sleeves.
0306847002,306847,Honey Leggings 2PACK - TVP,273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,7930,Young Girl Jersey Basic,I,Children Sizes 134-170,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,Leggings in soft cotton jersey with an elasticated waist.
0307239005,307239,Hilly Brief 2pk HW LS,286,Underwear bottom,Underwear,1010016,Solid,9,Black,4,Dark,5,Black,3710,Functional Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Shaping briefs in microfibre with a high waist, laser-cut edges and lined gusset. The briefs have a light shaping effect on the waist, bum and hips."
0308158008,308158,LS body girly with collar,256,Bodysuit,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,Long-sleeved bodysuit in soft organic cotton jersey with a rounded collar and press-studs at the back and crotch. Scalloped edges at the collar and cuffs.
0310091024,310091,3P LS PJ with feet,295,Pyjama jumpsuit/playsuit,Nightwear,1010001,All over pattern,51,Light Pink,1,Dusty Light,4,Pink,6563,Baby Nightwear,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1017,"Under-, Nightwear","All-in-one pyjamas in soft cotton jersey with a zip down the front and along one leg, long sleeves and full feet."
0316441005,316441,Lee (1),254,Top,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,Long-sleeved top in soft jersey.
0316441033,316441,Lee (1),254,Top,Garment Upper body,1010010,Melange,7,Grey,2,Medium Dusty,12,Grey,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,Long-sleeved top in soft jersey.
0318066014,318066,KIMBERLY Braided Headband,75,Hat/beanie,Accessories,1010010,Melange,11,Off White,1,Dusty Light,9,White,3945,Knit & Woven,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Braided headband in a soft knit.
0318951019,318951,Basic LS t-shirt,255,T-shirt,Garment Upper body,1010017,Stripe,8,Dark Grey,4,Dark,12,Grey,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,"Long-sleeved top in soft, organic cotton jersey with a chest pocket and a press-stud on one shoulder (sizes 1-4Y without a press-stud)."
0324963007,324963,Classic PU sunglasscase,78,Other accessories,Accessories,1010001,All over pattern,12,Light Beige,1,Dusty Light,9,White,3419,Other items,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Glasses case in imitation leather with an imitation suede lining. Flap with a reinforced front and press-stud fastening. Size 6x16 cm.
0324963051,324963,Classic PU sunglasscase,78,Other accessories,Accessories,1010001,All over pattern,12,Light Beige,1,Dusty Light,11,Beige,3419,Other items,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Glasses case in imitation leather with an imitation suede lining. Flap with a reinforced front and press-stud fastening. Size 6x16 cm.
0324963052,324963,Classic PU sunglasscase,78,Other accessories,Accessories,1010001,All over pattern,31,Light Orange,1,Dusty Light,4,Pink,3419,Other items,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Glasses case in imitation leather with an imitation suede lining. Flap with a reinforced front and press-stud fastening. Size 6x16 cm.
0325542020,325542,Nina Nightshirt (W),293,Night gown,Nightwear,1010017,Stripe,71,Light Blue,3,Light,2,Blue,3709,Nightwear,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1017,"Under-, Nightwear","Long nightshirt in soft cotton flannel with notch lapels, a chest pocket, buttons down the front, buttoned cuffs, and a rounded hem. Slightly longer at the back."
0326885022,326885,MAX jersey pants SB,272,Trousers,Garment Lower body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,7668,Kids Boy Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,72,Boys Underwear & Basics,1002,Jersey Basic,"Joggers in lightweight jersey made from a cotton blend with a ribbed, elasticated waistband, pockets in the side seams and ribbed hems. The cotton content of the joggers is organic."
0327310016,327310,Alicia wrap skirt,275,Skirt,Garment Lower body,1010016,Solid,53,Dark Pink,4,Dark,4,Pink,1444,Skirts,D,Divided,2,Divided,53,Divided Collection,1012,Skirts,"Short jersey skirt with a draped, wrapover front and concealed elastication at the waist."
0327821029,327821,MALAGA 2-P,273,Leggings/Tights,Garment Lower body,1010017,Stripe,10,White,3,Light,9,White,7920,Kids Girl Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,Leggings in soft organic cotton jersey with an elasticated waist.
0331474016,331474,JOEL Fancy sweatpants SB,272,Trousers,Garment Lower body,1010001,All over pattern,9,Black,4,Dark,5,Black,7668,Kids Boy Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,72,Boys Underwear & Basics,1002,Jersey Basic,"Joggers in sweatshirt fabric with elasticated ribbing at the waist, pockets in the side seams and ribbed hems."
0335037001,335037,HM+ Hilly Biker 2pk,286,Underwear bottom,Underwear,1010016,Solid,9,Black,4,Dark,5,Black,3710,Functional Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Shaping bikers in microfibre with a high, elasticated waist, lined gusset and longer legs with laser-cut hems. Light shaping effect on the tummy, bum and thighs."
0341782018,341782,RILEY T-SHIRT,255,T-shirt,Garment Upper body,1010018,Treatment,9,Black,4,Dark,5,Black,5828,Jersey Fancy,F,Menswear,3,Menswear,20,Contemporary Smart,1005,Jersey Fancy,T-shirt in soft jersey with raw edges.
0346539017,346539,Pattern 5p Socks,302,Socks,Socks & Tights,1010001,All over pattern,9,Black,4,Dark,5,Black,3611,Shopbasket Socks,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Fine-knit socks in a soft cotton blend in various colours and designs.
0354246011,354246,Basic LS Raglan t-shirt,255,T-shirt,Garment Upper body,1010005,Colour blocking,8,Dark Grey,4,Dark,12,Grey,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,T-shirt in organic cotton jersey with long raglan sleeves in a contrasting colour and press-studs at the back of the neck.
0356289064,356289,JESSY SKIRT,275,Skirt,Garment Lower body,1010001,All over pattern,52,Pink,7,Medium,4,Pink,1444,Skirts,D,Divided,2,Divided,53,Divided Collection,1012,Skirts,Short skater skirt in soft fabric. Unlined.
0357792008,357792,Cool Alessa Cat,81,Sunglasses,Accessories,1010016,Solid,61,Light Purple,3,Light,4,Pink,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Sunglasses with plastic frames, metal side pieces and UV-protective, tinted lenses."
0364297029,364297,SWEATPANTS OC,272,Trousers,Garment Lower body,1010016,Solid,8,Dark Grey,4,Dark,12,Grey,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,Trousers in sweatshirt fabric made from organic cotton with an elasticated drawstring waist and ribbed hems. Soft brushed inside.
0366686024,366686,Tail tee,255,T-shirt,Garment Upper body,1010018,Treatment,43,Dark Red,4,Dark,18,Red,5957,Jersey inactive from s1,F,Menswear,3,Menswear,55,Contemporary Street,1005,Jersey Fancy,"Long T-shirt in hard-washed slub cotton jersey with raw, roll edges and short sleeves with sewn-in turn-ups. Longer at the back."
0368603035,368603,ANTHEA pj (1),297,Pyjama set,Nightwear,1010001,All over pattern,81,Light Turquoise,3,Light,7,Turquoise,7922,Kids Girl UW/NW,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1017,"Under-, Nightwear",Pyjamas in patterned cotton jersey. Long-sleeved top with ribbed cuffs. Bottoms with an elasticated waist and ribbed hems.
0372008011,372008,Halter,253,Vest top,Garment Upper body,1010016,Solid,22,Yellow,7,Medium,8,Yellow,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,Gently flared vest top in jersey with a sheen. Narrow shoulder straps that cross at the back. Lined at the top.
0375248021,375248,LOVE 2-pack leggings,273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,7930,Young Girl Jersey Basic,I,Children Sizes 134-170,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,"3/4-length leggings in soft, organic cotton jersey with an elasticated waist."
0375849011,375849,Penny 70s baseball,254,Top,Garment Upper body,1010005,Colour blocking,9,Black,4,Dark,5,Black,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Baseball shirt in soft jersey with 3/4-length raglan sleeves in a contrasting colour and a rounded hem.
0375917007,375917,Hat Frank Fedora(1),509,Felt hat,Accessories,1010016,Solid,8,Dark Grey,4,Dark,12,Grey,9985,Accessories,F,Menswear,3,Menswear,25,Men Accessories,1019,Accessories,Hat in felted fabric with a grosgrain band. Width of brim 6 cm.
0378135022,378135,R-Neck Merino Pisa,252,Sweater,Garment Upper body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,5831,Knitwear,F,Menswear,3,Menswear,23,Men Suits & Tailoring,1003,Knitwear,"Jumper in soft, fine-knit merino wool with a round neck, long sleeves and ribbing at the cuffs and hem."
0378135029,378135,R-Neck Pisa TVP R,252,Sweater,Garment Upper body,1010016,Solid,93,Dark Green,4,Dark,19,Green,5831,Knitwear,F,Menswear,3,Menswear,23,Men Suits & Tailoring,1003,Knitwear,"Jumper in soft, fine-knit merino wool with a round neck, long sleeves and ribbing at the cuffs and hem."
0379780039,379780,Rita Ringer Tee,255,T-shirt,Garment Upper body,1010005,Colour blocking,73,Dark Blue,7,Medium,2,Blue,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Short T-shirt in soft jersey with a trim in a contrasting colour at the neckline and sleeves.
0381038003,381038,Cori cropped hood,308,Hoodie,Garment Upper body,1010010,Melange,9,Black,4,Dark,12,Grey,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Cropped top in soft sweatshirt fabric with a drawstring hood and long sleeves with ribbed cuffs. Soft brushed inside.
0381187006,381187,Lottie Tee,255,T-shirt,Garment Upper body,1010016,Solid,13,Beige,1,Dusty Light,1,Mole,5962,Jersey Fancy DS,D,Divided,2,Divided,58,Divided Selected,1005,Jersey Fancy,"Long T-shirt in soft jersey containing some linen with short sleeves, a roll edge around the neckline and slits in the sides. Slightly longer at the back."
0382127035,382127,Roman running hood,308,Hoodie,Garment Upper body,1010010,Melange,43,Dark Red,4,Dark,18,Red,8394,Men Sport Bottoms,S,Sport,26,Sport,22,Men H&M Sport,1005,Jersey Fancy,"Running jacket in fast-drying, breathable functional fabric with a mesh-lined hood, zip down the front and zipped chest pocket. Ventilation holes under the arms, ribbing with thumbholes at the cuffs and a rounded hem. Slightly longer at the back. Reflective details. Unlined. Tight fit. Size of chest pocket 10x17.5 cm."
0384654011,384654,Wanda Dress,265,Dress,Garment Full body,1010018,Treatment,13,Beige,2,Medium Dusty,1,Mole,5962,Jersey Fancy DS,D,Divided,2,Divided,58,Divided Selected,1005,Jersey Fancy,"Short T-shirt dress in soft jersey with short cap sleeves with sewn-in turn-ups, and a rounded hem. Slightly longer at the back."
0386399006,386399,3P SS PJ,295,Pyjama jumpsuit/playsuit,Nightwear,1010001,All over pattern,73,Dark Blue,4,Dark,2,Blue,6563,Baby Nightwear,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1017,"Under-, Nightwear","Pyjamas in soft organic cotton jersey with short sleeves, short legs and press-studs down the front and along one leg."
0386678001,386678,Big Arjuna crossbag,66,Bag,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,3209,Bags,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Shoulder bag in grained imitation leather with a narrow, adjustable shoulder strap, flap with a zip, and a zipped inner compartment. Lined. Size 8x18x23 cm."
0386859019,386859,T-Shirt Allington R-neck,255,T-shirt,Garment Upper body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,5831,Knitwear,F,Menswear,3,Menswear,23,Men Suits & Tailoring,1003,Knitwear,T-shirt in premium cotton jersey.
0386859027,386859,R-neck Allington,255,T-shirt,Garment Upper body,1010010,Melange,8,Dark Grey,4,Dark,12,Grey,5831,Knitwear,F,Menswear,3,Menswear,23,Men Suits & Tailoring,1003,Knitwear,T-shirt in premium cotton jersey.
